<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.SBER:SMAL;60;20220406;160000;151.0000000;151.0000000;151.0000000;151.0000000;1
MOEX.SBER:SMAL;60;20220406;170000;150.9900000;150.9900000;150.9900000;150.9900000;1
MOEX.SBER:SMAL;60;20220406;180000;145.0300000;145.0300000;140.0100000;140.0100000;17
MOEX.SBER:SMAL;60;20220406;190000;140.7900000;140.7900000;140.7900000;140.7900000;6
MOEX.SBER:SMAL;60;20220407;110000;145.0000000;145.0000000;139.0000000;145.0000000;17
MOEX.SBER:SMAL;60;20220407;120000;146.9800000;146.9800000;146.9800000;146.9800000;2
MOEX.SBER:SMAL;60;20220407;130000;147.9500000;147.9500000;147.5000000;147.5000000;12
MOEX.SBER:SMAL;60;20220407;160000;147.6900000;147.6900000;147.6900000;147.6900000;12
MOEX.SBER:SMAL;60;20220407;170000;146.2200000;146.2200000;145.8000000;145.8000000;22
MOEX.SBER:SMAL;60;20220407;180000;147.6900000;147.6900000;145.6900000;145.6900000;2
MOEX.SBER:SMAL;60;20220408;110000;147.7000000;147.7000000;147.7000000;147.7000000;1
MOEX.SBER:SMAL;60;20220408;120000;148.0000000;148.0000000;145.9500000;145.9500000;13
MOEX.SBER:SMAL;60;20220408;140000;146.4900000;148.6600000;145.5100000;145.5900000;15
MOEX.SBER:SMAL;60;20220408;150000;145.5000000;148.7700000;145.0000000;145.0000000;11
MOEX.SBER:SMAL;60;20220408;160000;147.0000000;147.0000000;140.7900000;140.7900000;7
MOEX.SBER:SMAL;60;20220408;180000;141.8800000;141.8800000;141.8800000;141.8800000;5
MOEX.SBER:SMAL;60;20220411;110000;144.0000000;149.9800000;144.0000000;149.9800000;6
MOEX.SBER:SMAL;60;20220411;130000;149.9600000;149.9600000;144.0000000;144.0000000;20
MOEX.SBER:SMAL;60;20220411;140000;143.0000000;147.9100000;143.0000000;147.9100000;6
MOEX.SBER:SMAL;60;20220411;150000;143.0000000;145.0000000;142.0000000;142.0000000;8
MOEX.SBER:SMAL;60;20220411;160000;142.0000000;142.0000000;142.0000000;142.0000000;1
MOEX.SBER:SMAL;60;20220411;170000;141.5000000;141.5000000;140.0000000;140.0000000;17
MOEX.SBER:SMAL;60;20220411;180000;139.5000000;139.5000000;139.5000000;139.5000000;1
MOEX.SBER:SMAL;60;20220412;110000;136.0000000;136.0000000;132.0100000;132.0100000;11
MOEX.SBER:SMAL;60;20220412;120000;132.0000000;132.0000000;130.2100000;130.2100000;19
